"year","mean","location","age","per1000"
2007,0.025621451655983,"Peru","Under 5",25.621451655983
2008,0.0241283843676894,"Peru","Under 5",24.1283843676894
2009,0.0229762715273401,"Peru","Under 5",22.9762715273401
2010,0.0218505065316063,"Peru","Under 5",21.8505065316063
2011,0.0207900248282298,"Peru","Under 5",20.7900248282298
2012,0.0198184391877271,"Peru","Under 5",19.8184391877271
2013,0.0189233938810202,"Peru","Under 5",18.9233938810202
2014,0.0181201655302117,"Peru","Under 5",18.1201655302117
2015,0.0173390887733941,"Peru","Under 5",17.3390887733941
2016,0.0166095762987354,"Peru","Under 5",16.6095762987354
1970,0.0496620974931968,"Peru","Neonatal",49.6620974931968
1971,0.0476547849259139,"Peru","Neonatal",47.6547849259139
1972,0.0465064495071468,"Peru","Neonatal",46.5064495071468
1973,0.0454239102816011,"Peru","Neonatal",45.4239102816011
1974,0.0443835931748691,"Peru","Neonatal",44.3835931748691
1975,0.043471910651001,"Peru","Neonatal",43.471910651001
1976,0.0426171295841421,"Peru","Neonatal",42.6171295841421
1977,0.0417925681684931,"Peru","Neonatal",41.7925681684931
1978,0.0409896150461001,"Peru","Neonatal",40.9896150461001
1979,0.0400650713138165,"Peru","Neonatal",40.0650713138165
1980,0.0391341351368087,"Peru","Neonatal",39.1341351368087
1981,0.0381818852036951,"Peru","Neonatal",38.1818852036951
1982,0.0372952052352031,"Peru","Neonatal",37.2952052352031
1983,0.036481859858058,"Peru","Neonatal",36.481859858058
1984,0.0355580451673563,"Peru","Neonatal",35.5580451673563
1985,0.034428260543993,"Peru","Neonatal",34.4282605439929
1986,0.0331665745429268,"Peru","Neonatal",33.1665745429268
1987,0.0317055474704129,"Peru","Neonatal",31.7055474704129
1988,0.0302845921926785,"Peru","Neonatal",30.2845921926785
1989,0.0291951079621605,"Peru","Neonatal",29.1951079621605
1990,0.0280904221346809,"Peru","Neonatal",28.0904221346809
1991,0.0272836397211229,"Peru","Neonatal",27.2836397211229
1992,0.0257670942609078,"Peru","Neonatal",25.7670942609078
1993,0.0243979956432031,"Peru","Neonatal",24.3979956432031
1994,0.0228752275849097,"Peru","Neonatal",22.8752275849097
1995,0.0214063242526989,"Peru","Neonatal",21.406324252699
1996,0.0200049840133292,"Peru","Neonatal",20.0049840133292
1997,0.0186528317354099,"Peru","Neonatal",18.6528317354099
1998,0.0174817704875749,"Peru","Neonatal",17.4817704875749
1999,0.0163646940992618,"Peru","Neonatal",16.3646940992618
2000,0.0154408383345899,"Peru","Neonatal",15.4408383345899
2001,0.0146844758472492,"Peru","Neonatal",14.6844758472492
2002,0.0140162859285929,"Peru","Neonatal",14.0162859285929
2003,0.01343921555108,"Peru","Neonatal",13.43921555108
2004,0.0129292360148383,"Peru","Neonatal",12.9292360148383
2005,0.0124580950146082,"Peru","Neonatal",12.4580950146082
